time,phase,NS-Left,NS-Through,EW-Left,EW-Through
0,NS_GREEN,GREEN,GREEN,RED,RED
1,NS_GREEN,GREEN,GREEN,RED,RED
2,NS_GREEN,GREEN,GREEN,RED,RED
3,NS_GREEN,GREEN,GREEN,RED,RED
4,NS_GREEN,GREEN,GREEN,RED,RED
5,NS_GREEN,GREEN,GREEN,RED,RED
6,NS_GREEN,GREEN,GREEN,RED,RED
7,NS_GREEN,GREEN,GREEN,RED,RED
8,NS_GREEN,GREEN,GREEN,RED,RED
9,NS_GREEN,GREEN,GREEN,RED,RED
10,NS_GREEN,GREEN,GREEN,RED,RED
11,NS_GREEN,GREEN,GREEN,RED,RED
12,NS_GREEN,GREEN,GREEN,RED,RED
13,NS_GREEN,GREEN,GREEN,RED,RED
14,NS_GREEN,GREEN,GREEN,RED,RED
15,NS_GREEN,GREEN,GREEN,RED,RED
16,NS_GREEN,GREEN,GREEN,RED,RED
17,NS_GREEN,GREEN,GREEN,RED,RED
18,NS_GREEN,GREEN,GREEN,RED,RED
19,NS_GREEN,GREEN,GREEN,RED,RED
20,NS_GREEN,GREEN,GREEN,RED,RED
21,NS_GREEN,GREEN,GREEN,RED,RED
22,NS_GREEN,GREEN,GREEN,RED,RED
23,NS_GREEN,GREEN,GREEN,RED,RED
24,NS_GREEN,GREEN,GREEN,RED,RED
25,NS_GREEN,GREEN,GREEN,RED,RED
26,NS_GREEN,GREEN,GREEN,RED,RED
27,NS_GREEN,GREEN,GREEN,RED,RED
28,NS_GREEN,GREEN,GREEN,RED,RED
29,NS_GREEN,GREEN,GREEN,RED,RED
30,NS_GREEN,GREEN,GREEN,RED,RED
31,NS_GREEN,GREEN,GREEN,RED,RED
32,NS_GREEN,GREEN,GREEN,RED,RED
33,NS_GREEN,GREEN,GREEN,RED,RED
34,NS_GREEN,GREEN,GREEN,RED,RED
35,NS_GREEN,GREEN,GREEN,RED,RED
36,NS_GREEN,GREEN,GREEN,RED,RED
37,NS_GREEN,GREEN,GREEN,RED,RED
38,NS_GREEN,GREEN,GREEN,RED,RED
39,NS_GREEN,GREEN,GREEN,RED,RED
40,NS_GREEN,GREEN,GREEN,RED,RED
41,NS_GREEN,GREEN,GREEN,RED,RED
42,NS_GREEN,GREEN,GREEN,RED,RED
43,NS_GREEN,GREEN,GREEN,RED,RED
44,NS_GREEN,GREEN,GREEN,RED,RED
45,NS_YELLOW,YELLOW,YELLOW,RED,RED
46,NS_YELLOW,YELLOW,YELLOW,RED,RED
47,NS_YELLOW,YELLOW,YELLOW,RED,RED
48,NS_YELLOW,YELLOW,YELLOW,RED,RED
49,ALL_RED_1,RED,RED,RED,RED
50,EW_GREEN,RED,RED,GREEN,GREEN
51,EW_GREEN,RED,RED,GREEN,GREEN
52,EW_GREEN,RED,RED,GREEN,GREEN
53,EW_GREEN,RED,RED,GREEN,GREEN
54,EW_GREEN,RED,RED,GREEN,GREEN
55,EW_GREEN,RED,RED,GREEN,GREEN
56,EW_GREEN,RED,RED,GREEN,GREEN
57,EW_GREEN,RED,RED,GREEN,GREEN
58,EW_GREEN,RED,RED,GREEN,GREEN
59,EW_GREEN,RED,RED,GREEN,GREEN
60,EW_GREEN,RED,RED,GREEN,GREEN
61,EW_GREEN,RED,RED,GREEN,GREEN
62,EW_GREEN,RED,RED,GREEN,GREEN
63,EW_GREEN,RED,RED,GREEN,GREEN
64,EW_GREEN,RED,RED,GREEN,GREEN
65,EW_GREEN,RED,RED,GREEN,GREEN
66,EW_GREEN,RED,RED,GREEN,GREEN
67,EW_GREEN,RED,RED,GREEN,GREEN
68,EW_GREEN,RED,RED,GREEN,GREEN
69,EW_GREEN,RED,RED,GREEN,GREEN
70,EW_GREEN,RED,RED,GREEN,GREEN
71,EW_GREEN,RED,RED,GREEN,GREEN
72,EW_GREEN,RED,RED,GREEN,GREEN
73,EW_GREEN,RED,RED,GREEN,GREEN
74,EW_GREEN,RED,RED,GREEN,GREEN
75,EW_GREEN,RED,RED,GREEN,GREEN
